Position_X,Position_Y,Position_Z,Unit,Category,Collection,TimePointID,TrackID,ID
73.45,297.69,37.94,um,Surface,Position,69,2000000006,3489
73.47,297.71,37.57,um,Surface,Position,70,2000000006,3542
73.97,297.72,37.36,um,Surface,Position,71,2000000006,3596
74.98,297.46,37.63,um,Surface,Position,72,2000000006,3652
74.94,296.86,37.94,um,Surface,Position,73,2000000006,3708
75.72,294.61,39.19,um,Surface,Position,74,2000000006,3758
74.39,291.27,38.36,um,Surface,Position,75,2000000006,3812
74,289.14,37.83,um,Surface,Position,76,2000000006,3867
75.46,287.66,37.89,um,Surface,Position,77,2000000006,3921
75.21,287.1,38.96,um,Surface,Position,78,2000000006,3977
73.01,286.58,37.88,um,Surface,Position,79,2000000006,4034
73.08,286.08,36.09,um,Surface,Position,80,2000000006,4091
72.79,288.48,35.06,um,Surface,Position,81,2000000006,4147
72.94,288.43,34.03,um,Surface,Position,82,2000000006,4203
73.86,287.96,33.48,um,Surface,Position,83,2000000006,4257
